ms,y
43,91.30783868866888
44,93.59644533458133
45,95.4754533873526
46,96.98124813972294
47,98.15021488443257
48,99.01873891422177
49,99.62320552183084
50,100.0
51,100.18550764146954
52,100.21611373897971
53,100.1282035852708
54,99.95816247308304
55,99.74237569515672
56,99.5172285442321
57,99.31910631304945
58,99.18439429434902
59,99.09212146111787
60,98.99837222433999
61,98.90511503375099
62,98.81431833908658
63,98.72795059008236
64,98.64798023647397
65,98.57637572799707
66,98.51510551438729
67,98.46613804538032
68,98.58466132277829
69,98.93542108495666
70,99.38472238651093
71,99.79887028203663
72,100.04416982612929
73,99.98692607338445
74,99.49344407839763
75,98.43002889576431
76,96.56007443916698
77,93.90950661961669
78,90.73842848770178
79,87.30694309401066
80,83.87515348913173
81,80.70316272365336
82,78.05107384816395
83,76.17898991325191
84,75.07411691731893
85,74.48200506718588
86,74.30027372606985
87,74.42654225718792
88,74.75843002375719
89,75.19355638899471
90,75.62954071611762
91,75.96400236834295
92,76.0945607088878
93,76.0907341179068
94,76.08960273359182
95,76.09012855621589
96,76.09127358605197
97,76.09199982337307
98,76.09126926845222
99,76.08804392156239
100,76.08128578297658
101,76.06993156037316
102,76.05451412821147
103,76.03638973693585
104,76.01691463699073
105,75.9974450788205
106,75.97933731286957
107,75.96394758958233
108,75.95263215940315
109,75.94597702532054
110,75.9429815738186
111,75.94262213058508
112,75.9438750213078
113,75.94571657167451
114,75.94712310737305
115,75.94707095409116
116,75.94453643751667
117,75.93849588333738
118,75.92942592756539
119,75.91855116745035
120,75.90596987053632
121,75.89178030436736
122,75.87608073648752
123,75.85896943444087
124,75.84054466577143
125,75.8209046980233
126,75.79796639285883
127,75.77074338856755
128,75.74097911763427
129,75.7104170125438
130,75.68080050578091
131,75.65387302983041
132,75.63137801717711
133,75.61505890030581
134,75.60633963263452
135,75.6042432062341
136,75.60691161156868
137,75.61248683910239
138,75.61911087929928
139,75.62492572262352
140,75.62807335953919
141,75.6266957805104
142,75.61893497600127
143,75.60329349779752
144,75.58098081118749
145,75.55419927688915
146,75.52515125562051
147,75.49603910809957
148,75.4690651950443
