ms,y
34,1.977039435951737
35,2.0277721381945377
36,2.067949920683793
37,2.0985084793751603
38,2.120383510224298
39,2.134510709186865
40,2.1418257722185188
41,2.1432643952749184
42,2.139762274311722
43,2.132255105284587
44,2.1216785841491728
45,2.1089684068611367
46,2.095060269376138
47,2.080889867649834
48,2.0673928976378835
49,2.055505055295945
50,2.0461620365796755
51,2.0426402899523524
52,2.045452868607133
53,2.051390375594499
54,2.0572434139649314
55,2.059802586768912
56,2.0558584970569216
57,2.0422017478794414
58,2.0156229422869534
59,1.971570507342705
60,1.9109209666014677
61,1.8386070678510045
62,1.7595615588790803
63,1.6787171874734592
64,1.601006701421906
65,1.5313628485121842
66,1.4747183765320586
67,1.4360060332692932
68,1.056763596039502
69,0.17848485147916482
70,-0.8939634386426536
71,-1.8557145125568903
72,-2.401901608494481
73,-2.227657964686362
74,-1.0281168193634698
75,1.5015885892432608
76,5.915465120908514
77,12.16059499004138
78,19.631457990362534
79,27.722533915592635
80,35.82830255945237
81,43.343243715662396
82,49.66183717794339
83,54.17856274001602
84,56.93931558318151
85,58.54412203041346
86,59.21865858794109
87,59.188601761993645
88,58.67962805880032
89,57.91741398459035
90,57.12763604559295
91,56.535970748037364
92,56.36809459815281
93,56.45400061054153
94,56.483421218336204
95,56.47164205556176
96,56.43394875624312
97,56.38562695440517
98,56.34196228407284
99,56.31824037927104
100,56.329746874024664
101,56.36468250084182
102,56.403432684107024
103,56.449560095659784
104,56.50662740733964
105,56.578197290986125
106,56.66783241843876
107,56.77909546153708
108,56.915549092120614
109,57.076909232627756
110,57.25923326172798
111,57.46059603560742
112,57.67907241045219
113,57.91273724244841
114,58.15966538778221
115,58.41793170263971
116,58.68561104320704
117,58.96077826567033
118,59.26133243165763
119,59.597366319535645
120,59.95524536059845
121,60.321334986140116
122,60.682000627454705
123,61.023607715836285
124,61.33252168257895
125,61.595107958976755
126,61.72633104155332
127,61.702732446633945
128,61.60304313521519
129,61.505994068293674
130,61.49031620686595
131,61.634740511928605
132,62.01799794447823
133,62.71881946551141
134,63.84151305402182
135,65.36088637914402
136,67.16141993708584
137,69.12759422405512
138,71.14388973625975
139,73.09478696990755
140,74.86476642120638
141,76.33830858636409
142,77.39989396158853
143,78.02066669245093
144,78.30281906737063
145,78.3274037968277
146,78.1754735913022
147,77.92808116127419
148,77.66627921722375
149,77.47112046963089
150,77.42365762897572
151,77.47938451663515
152,77.5420339984564
153,77.61501735162491
154,77.70174585332614
155,77.80563078074556
156,77.93008341106861
157,78.07851502148075
158,78.25433688916745
159,78.45933466940176
160,78.69067127475303
