time(s),ppg
0.0,-6.699016E7
0.008339000000000318,-6.7033856E7
0.01667799999999975,-6.7060408E7
0.025017000000000955,-6.7162216E7
0.033355000000001134,-6.7186256E7
0.041694000000000564,-6.7223056E7
0.05003300000000088,-6.72676E7
0.05837200000000031,-6.7353568E7
0.06671100000000063,-6.744872E7
0.07505000000000006,-6.7506816E7
0.08338900000000038,-6.7543248E7
0.09172700000000056,-6.7378352E7
0.10006600000000088,-6.7411888E7
0.1084050000000012,-6.7264448E7
0.11674400000000063,-6.7187224E7
0.12508300000000094,-6.7083332E7
0.13342200000000037,-6.68118E7
0.1417610000000007,-6.6563192E7
0.150100000000001,-6.6244296E7
0.15843900000000044,-6.593524E7
0.16677700000000062,-6.5463184E7
0.17511600000000005,-6.5132696E7
0.18345500000000037,-6.48554E7
0.1917940000000007,-6.4583764E7
0.200133000000001,-6.4383512E7
0.20847200000000132,-6.4192332E7
0.21681100000000075,-6.403304E7
0.22515000000000107,-6.3847848E7
0.23348800000000036,-6.373136E7
0.24182700000000068,-6.3886964E7
0.2501660000000001,-6.3824948E7
0.25850500000000043,-6.39768E7
0.26684399999999986,-6.3897628E7
0.2751830000000002,-6.3913304E7
0.2835220000000005,-6.3904176E7
0.2918610000000008,-6.3882592E7
0.30020000000000113,-6.3901964E7
0.3085380000000004,-6.3917072E7
0.31687700000000074,-6.3962824E7
0.32521600000000017,-6.4024904E7
0.3335550000000005,-6.40962E7
0.3418940000000008,-6.4175496E7
0.35023300000000024,-6.4170816E7
0.35857200000000056,-6.4296564E7
0.36691000000000074,-6.435684E7
0.37524900000000105,-6.4416708E7
0.3835880000000005,-6.4509784E7
0.3919270000000008,-6.4602584E7
0.4002660000000011,-6.4582216E7
0.40860500000000055,-6.4640232E7
0.41694400000000087,-6.468706E7
0.4252830000000003,-6.467992E7
0.4336220000000006,-6.468388E7
0.44196100000000005,-6.4741148E7
0.4502990000000002,-6.4735168E7
0.45863800000000055,-6.4855972E7
0.46697700000000086,-6.4890532E7
0.4753160000000012,-6.4929348E7
0.4836550000000006,-6.4950216E7
0.49199400000000093,-6.5007064E7
0.5003330000000004,-6.5084516E7
0.5086710000000005,-6.5128096E7
0.517011000000001,-6.5186504E7
0.5253490000000003,-6.5274396E7
0.5336880000000006,-6.5379472E7
0.542027,-6.5472776E7
0.5503660000000004,-6.5574756E7
0.5587049999999998,-6.5589208E7
0.567044000000001,-6.5693536E7
0.5753830000000013,-6.5732668E7
0.5837220000000007,-6.5800388E7
0.5920600000000009,-6.597904E7
0.6003990000000003,-6.603252E7
0.6087380000000007,-6.6199696E7
0.6170770000000001,-6.6320928E7
0.6254160000000004,-6.6389056E7
0.6337550000000007,-6.6533504E7
0.6420940000000002,-6.6620584E7
0.6504330000000005,-6.669636E7
0.6587710000000007,-6.6761544E7
0.667110000000001,-6.6796632E7
0.6754490000000004,-6.6803592E7
0.6837880000000007,-6.69345E7
0.692127000000001,-6.6975832E7
0.7004660000000005,-6.702032E7
0.7088050000000008,-6.7069692E7
0.7171440000000002,-6.712384E7
0.7254820000000004,-6.6972268E7
0.7338209999999998,-6.7059656E7
0.742160000000001,-6.699756E7
0.7504990000000014,-6.708824E7
0.7588380000000008,-6.7141784E7
0.7671770000000011,-6.7175184E7
0.7755160000000005,-6.7219416E7
0.7838550000000009,-6.7295392E7
0.7921940000000003,-6.7324648E7
0.8005320000000005,-6.7390144E7
0.8088709999999999,-6.7423184E7
0.8172100000000002,-6.738708E7
0.8255490000000005,-6.7298208E7
0.833888,-6.7025416E7
0.8422270000000012,-6.6729328E7
0.8505660000000006,-6.6521044E7
0.8589040000000008,-6.6206988E7
0.8672430000000002,-6.5848284E7
0.8755820000000005,-6.5515132E7
0.8839210000000008,-6.5193484E7
0.8922600000000003,-6.4932564E7
0.9005990000000006,-6.4682996E7
0.908938,-6.4510656E7
0.9172770000000003,-6.4374292E7
0.9256160000000007,-6.4185216E7
0.9339550000000001,-6.4097976E7
0.9422930000000012,-6.4059316E7
0.9506320000000006,-6.3980576E7
0.9589710000000009,-6.3918176E7
0.9673100000000003,-6.3922936E7
0.9756490000000007,-6.4100856E7
0.9839880000000001,-6.4101144E7
0.9923270000000004,-6.4327872E7
1.0006660000000007,-6.4279588E7
1.009004,-6.4320328E7
1.0173430000000012,-6.4339064E7
1.0256820000000006,-6.4350132E7
1.034021000000001,-6.4361488E7
1.0423600000000004,-6.4453576E7
1.0506990000000007,-6.4551688E7
1.059038000000001,-6.4659208E7
1.0673760000000003,-6.4690784E7
1.0757150000000006,-6.4828272E7
1.084054,-6.488416E7
1.0923930000000004,-6.497512E7
1.1007319999999998,-6.4999544E7
1.1090710000000001,-6.5048572E7
1.1174100000000013,-6.5089472E7
1.1257490000000008,-6.5156952E7
1.134087000000001,-6.5187056E7
1.1424260000000004,-6.5222188E7
1.1507650000000007,-6.5237544E7
1.1591040000000001,-6.52526E7
1.1674430000000005,-6.524388E7
1.1757820000000008,-6.526202E7
1.1841210000000002,-6.53157E7
1.1924600000000005,-6.5391828E7
1.2007980000000007,-6.5493808E7
1.2091380000000003,-6.5571308E7
1.2174760000000004,-6.5690368E7
1.2258150000000008,-6.5744244E7
1.234154000000001,-6.576932E7
1.2424930000000005,-6.587404E7
1.2508320000000008,-6.5894056E7
1.2591710000000003,-6.5893488E7
1.2675100000000006,-6.5924116E7
1.275849,-6.6048004E7
1.2841870000000002,-6.6146112E7
1.2925260000000014,-6.6244808E7
1.3008650000000008,-6.6289152E7
1.3092040000000011,-6.638034E7
1.3175430000000006,-6.6544428E7
1.325882000000001,-6.6596512E7
1.3342210000000003,-6.6727376E7
1.3425590000000005,-6.6824344E7
1.3508980000000008,-6.6906544E7
